datetime,BTC,ETH,ADA,DOT,LINK
2025-05-06 04:00:00,94400.99,1806.03,0.6616,3.892,13.52
2025-05-06 08:00:00,93812.54,1769.92,0.648,3.841,13.28
2025-05-06 12:00:00,94558.95,1770.09,0.6522,3.909,13.39
2025-05-06 16:00:00,94963.5,1784.79,0.6641,3.937,13.61
2025-05-06 20:00:00,96834.02,1817.0,0.6789,3.971,13.82
2025-05-07 00:00:00,96506.9,1826.48,0.6781,3.963,13.93
2025-05-07 04:00:00,96994.82,1838.24,0.6824,3.982,13.93
2025-05-07 08:00:00,97047.43,1836.35,0.6829,3.977,13.87
2025-05-07 12:00:00,96923.91,1817.31,0.6653,3.921,13.59
2025-05-07 16:00:00,96180.01,1795.82,0.6593,3.902,13.56
2025-05-07 20:00:00,97030.5,1811.11,0.6715,3.969,13.82
2025-05-08 00:00:00,99152.79,1901.1,0.7028,4.169,14.5
2025-05-08 04:00:00,99252.34,1928.4,0.7079,4.212,14.69
2025-05-08 08:00:00,99409.14,1957.63,0.7192,4.247,14.89
2025-05-08 12:00:00,100758.08,2051.3,0.7315,4.296,15.23
2025-05-08 16:00:00,101299.99,2117.83,0.7404,4.331,15.55
2025-05-08 20:00:00,103261.6,2207.39,0.7693,4.456,15.88
2025-05-09 00:00:00,102451.04,2205.06,0.7556,4.474,15.69
2025-05-09 04:00:00,103628.77,2364.09,0.7941,4.605,16.11
2025-05-09 08:00:00,102958.31,2351.29,0.7942,4.687,16.22
2025-05-09 12:00:00,102895.99,2301.3,0.7816,4.731,15.96
2025-05-09 16:00:00,103189.17,2331.57,0.7813,4.762,16.01
2025-05-09 20:00:00,102971.99,2345.04,0.7774,4.799,16.01
2025-05-10 00:00:00,103226.24,2339.89,0.7807,4.981,16.05
2025-05-10 04:00:00,103759.71,2400.0,0.8005,5.062,16.36
2025-05-10 08:00:00,103434.94,2384.75,0.7889,5.049,16.1
2025-05-10 12:00:00,103138.77,2433.46,0.8014,5.003,16.42
2025-05-10 16:00:00,103191.35,2499.48,0.8126,5.074,16.79
2025-05-10 20:00:00,104809.53,2583.23,0.8406,5.309,17.34
2025-05-11 00:00:00,104007.03,2537.63,0.8163,5.126,16.94
2025-05-11 04:00:00,103385.47,2473.22,0.7917,5.002,16.45
2025-05-11 08:00:00,104652.01,2530.67,0.8039,5.109,16.67
2025-05-11 12:00:00,104150.0,2462.51,0.7902,5.05,16.61
2025-05-11 16:00:00,104420.0,2508.02,0.8091,5.104,16.95
2025-05-11 20:00:00,104118.0,2514.57,0.8053,5.097,17.1
2025-05-12 00:00:00,104100.13,2520.0,0.8197,5.147,17.16
2025-05-12 04:00:00,104467.99,2554.77,0.8248,5.269,17.51
2025-05-12 08:00:00,103762.9,2530.59,0.8245,5.2,17.14
2025-05-12 12:00:00,102527.26,2486.92,0.822,5.107,16.84
2025-05-12 16:00:00,101860.0,2460.36,0.8075,5.048,16.53
2025-05-12 20:00:00,102791.32,2495.47,0.817,5.068,16.74
2025-05-13 00:00:00,101719.4,2424.8,0.7741,4.842,16.08
2025-05-13 04:00:00,102665.5,2460.72,0.7916,4.971,16.41
2025-05-13 08:00:00,103729.2,2513.39,0.7988,5.004,16.66
2025-05-13 12:00:00,103682.55,2566.21,0.8058,5.044,16.87
2025-05-13 16:00:00,104792.22,2690.94,0.8348,5.211,17.62
2025-05-13 20:00:00,104103.72,2679.71,0.8299,5.195,17.39
2025-05-14 00:00:00,103587.44,2646.82,0.8168,5.195,17.23
2025-05-14 04:00:00,103716.55,2640.76,0.8243,5.15,17.19
2025-05-14 08:00:00,103944.93,2624.94,0.8209,5.127,17.11
2025-05-14 12:00:00,103514.24,2597.49,0.8074,5.022,17.01
2025-05-14 16:00:00,103321.72,2605.1,0.8014,5.016,17.01
2025-05-14 20:00:00,103507.82,2609.74,0.7986,4.98,17.01
2025-05-15 00:00:00,102753.63,2574.93,0.7922,4.903,16.71
2025-05-15 04:00:00,101779.99,2531.0,0.7676,4.763,16.2
2025-05-15 08:00:00,102371.61,2554.71,0.772,4.788,16.32
2025-05-15 12:00:00,103251.35,2563.76,0.7757,4.838,16.45
2025-05-15 16:00:00,103157.26,2530.98,0.7698,4.806,16.17
2025-05-15 20:00:00,103763.71,2548.69,0.7624,4.779,16.04
2025-05-16 00:00:00,104023.49,2581.35,0.7814,4.872,16.29
2025-05-16 04:00:00,103710.17,2601.5,0.7783,4.88,16.35
2025-05-16 08:00:00,103651.71,2620.83,0.7791,4.931,16.35
2025-05-16 12:00:00,104183.33,2594.93,0.7788,4.908,16.25
2025-05-16 16:00:00,104032.6,2591.8,0.773,4.841,16.06
2025-05-16 20:00:00,103463.9,2537.12,0.7588,4.755,15.76
2025-05-17 00:00:00,103508.48,2496.98,0.7556,4.685,15.51
2025-05-17 04:00:00,103451.14,2492.89,0.7761,4.729,15.4
2025-05-17 08:00:00,102994.17,2481.67,0.76,4.685,15.31
2025-05-17 12:00:00,102939.53,2474.48,0.7504,4.662,15.3
2025-05-17 16:00:00,103158.6,2470.19,0.735,4.594,15.24
2025-05-17 20:00:00,103126.65,2475.08,0.7427,4.612,15.32
2025-05-18 00:00:00,103295.7,2477.2,0.738,4.608,15.36
2025-05-18 04:00:00,103919.39,2509.3,0.7594,4.751,15.73
2025-05-18 08:00:00,103800.54,2501.75,0.7557,4.745,15.63
2025-05-18 12:00:00,105518.0,2578.99,0.774,4.91,16.35
2025-05-18 16:00:00,103883.97,2408.2,0.7304,4.587,15.19
2025-05-18 20:00:00,106454.26,2497.78,0.7596,4.793,15.88
2025-05-19 00:00:00,103605.88,2385.31,0.7282,4.551,15.14
2025-05-19 04:00:00,103226.29,2403.74,0.7237,4.5,15.18
2025-05-19 08:00:00,102963.41,2417.58,0.7282,4.523,15.21
2025-05-19 12:00:00,104786.41,2466.63,0.7362,4.556,15.47
2025-05-19 16:00:00,105517.7,2518.82,0.7421,4.6,15.78
2025-05-19 20:00:00,105573.74,2528.14,0.7425,4.596,15.78
2025-05-20 00:00:00,105761.92,2553.3,0.7431,4.648,16.13
2025-05-20 04:00:00,105021.71,2532.3,0.733,4.593,15.95
2025-05-20 08:00:00,105203.76,2514.2,0.7289,4.57,15.67
2025-05-20 12:00:00,105333.68,2482.79,0.7321,4.601,15.54
2025-05-20 16:00:00,107026.47,2501.28,0.7393,4.635,15.6
2025-05-20 20:00:00,106849.99,2524.19,0.746,4.677,15.71
2025-05-21 00:00:00,106843.59,2544.98,0.7519,4.727,15.86
2025-05-21 04:00:00,106527.16,2551.87,0.7528,4.683,15.84
2025-05-21 08:00:00,106546.44,2536.65,0.7553,4.68,15.87
